source,chunk_id,char_count
PMC9280503.txt,222,973
PMC9280503.txt,223,171
PMC9280503.txt,224,754
PMC9280503.txt,225,480
PMC9280503.txt,227,943
PMC9280503.txt,228,368
PMC9280503.txt,229,480
PMC9280503.txt,231,908
PMC9280503.txt,232,398
PMC9280503.txt,233,480
PMC9280503.txt,235,914
PMC9280503.txt,236,332
PMC9280503.txt,237,480
PMC9280503.txt,238,591
PMC9280503.txt,239,629
PMC9280503.txt,241,1050
PMC9280503.txt,242,870
PMC9280503.txt,243,110
PMC9280503.txt,244,972
PMC9280503.txt,245,857
PMC9280503.txt,246,317
PMC9280503.txt,247,870
PMC9280503.txt,248,852
PMC9280503.txt,249,106
PMC9280503.txt,250,929
PMC9280503.txt,251,940
PMC9280503.txt,252,518
PMC9280503.txt,253,852
PMC9280503.txt,254,859
PMC9280503.txt,255,828
PMC9280503.txt,256,544
PMC9280503.txt,257,566
PMC9280503.txt,259,983
PMC9280503.txt,260,937
PMC9280503.txt,261,566
PMC9280503.txt,262,808
PMC9280503.txt,264,1053
PMC9280503.txt,265,946
PMC9280503.txt,266,783
PMC9280503.txt,267,931
PMC9280503.txt,268,898
PMC9280503.txt,269,684
PMC9280503.txt,270,998
PMC9280503.txt,271,425
PMC9280503.txt,272,797
PMC9280503.txt,273,788
PMC9280503.txt,274,932
PMC9280503.txt,275,808
PMC9280503.txt,277,967
PMC9280503.txt,278,515
PMC9280503.txt,279,808
PMC9280503.txt,281,1002
PMC9280503.txt,282,415
PMC9280503.txt,283,808
PMC9280503.txt,285,988
PMC9280503.txt,286,931
PMC9280503.txt,287,891
PMC9280503.txt,288,934
PMC9280503.txt,289,780
PMC9280503.txt,290,613
PMC9280503.txt,291,808
PMC6105320.txt,292,615
PMC6105320.txt,293,532
PMC6105320.txt,295,986
PMC6105320.txt,296,313
PMC6105320.txt,297,532
PMC6105320.txt,299,1048
PMC6105320.txt,300,191
PMC6105320.txt,301,532
PMC6105320.txt,302,632
PMC6105320.txt,304,906
PMC6105320.txt,305,396
PMC6105320.txt,306,905
PMC6105320.txt,307,856
PMC6105320.txt,308,923
PMC6105320.txt,309,909
PMC6105320.txt,310,832
PMC6105320.txt,311,707
PMC6105320.txt,313,1057
PMC6105320.txt,314,361
PMC6105320.txt,315,707
PMC6105320.txt,316,829
PMC6105320.txt,318,1060
PMC6105320.txt,319,737
PMC6105320.txt,320,829
PMC6105320.txt,322,1062
PMC6105320.txt,323,981
PMC6105320.txt,324,915
PMC6105320.txt,325,829
PMC6105320.txt,327,1026
PMC6105320.txt,328,958
PMC6105320.txt,329,272
PMC6105320.txt,330,829
PMC6105320.txt,331,748
PMC6105320.txt,332,839
PMC6105320.txt,333,602
PMC6105320.txt,334,481
PMC6105320.txt,335,899
PMC6105320.txt,337,945
PMC6105320.txt,338,968
PMC6105320.txt,339,899
PMC6105320.txt,340,361
PMC6105320.txt,341,962
PMC6105320.txt,343,1033
PMC6105320.txt,344,421
PMC6105320.txt,345,962
PMC6105320.txt,346,592
PMC6105320.txt,348,868
PMC6105320.txt,349,916
PMC6105320.txt,350,488
PMC6105320.txt,351,592
PMC6105320.txt,353,949
PMC6105320.txt,354,812
PMC6105320.txt,355,968
PMC6105320.txt,356,856
PMC6105320.txt,357,710
PMC6105320.txt,358,904
PMC6105320.txt,360,820
PMC6105320.txt,361,496
PMC6105320.txt,362,904
PMC6105320.txt,364,1004
PMC6105320.txt,365,994
PMC6105320.txt,366,674
PMC6105320.txt,367,904
PMC5852624.txt,368,186
PMC5852624.txt,370,808
PMC5852624.txt,371,871
PMC5852624.txt,372,186
PMC5852624.txt,374,1009
PMC5852624.txt,375,843
PMC5852624.txt,376,652
PMC5852624.txt,377,104
PMC5852624.txt,378,978
PMC5852624.txt,379,917
PMC5852624.txt,380,354
PMC5852624.txt,381,652
PMC5852624.txt,382,933
PMC5852624.txt,383,959
PMC5852624.txt,384,633
PMC5852624.txt,385,136
PMC5852624.txt,386,909
PMC5852624.txt,387,633
PMC5852624.txt,388,700
PMC5852624.txt,389,513
PMC5852624.txt,390,1001
PMC5852624.txt,391,785
PMC5852624.txt,392,803
PMC5852624.txt,393,988
PMC5852624.txt,394,801
PMC5852624.txt,395,543
PMC5852624.txt,397,1062
PMC5852624.txt,398,381
PMC5852624.txt,399,543
PMC5852624.txt,401,874
PMC5852624.txt,402,473
PMC5852624.txt,403,918
PMC5852624.txt,404,834
PMC5852624.txt,405,459
PMC5852624.txt,406,987
PMC5852624.txt,408,1020
PMC5852624.txt,409,452
PMC5852624.txt,410,987
PMC5852624.txt,411,945
PMC5852624.txt,412,354
PMC5852624.txt,413,137
PMC5852624.txt,414,946
PMC5852624.txt,415,622
PMC5852624.txt,416,354
PMC5852624.txt,417,123
PMC5852624.txt,418,844
PMC5852624.txt,419,904
PMC5852624.txt,420,805
PMC5852624.txt,421,522
PMC5852624.txt,422,354
PMC6420431.txt,423,102
PMC6420431.txt,425,958
PMC6420431.txt,426,944
PMC6420431.txt,427,102
PMC6420431.txt,429,906
PMC6420431.txt,430,737
PMC6420431.txt,431,950
PMC6420431.txt,433,984
PMC6420431.txt,434,446
PMC6420431.txt,435,950
PMC6420431.txt,436,793
PMC6420431.txt,438,883
PMC6420431.txt,439,308
PMC6420431.txt,440,793
PMC6420431.txt,441,972
PMC6420431.txt,442,185
PMC6420431.txt,444,961
PMC6420431.txt,445,399
